year,# of tweets,# of unique users,# of unique languages,total # of mentions,average mentions/tweet,# of tweets with mentions,total # of urls,average urls/tweet,# of tweets with urls,# of tweet with photots,# of tweet with replies,# of tweet with retweets,# of tweet with likes,# of tweet with hashtags
2008,64,7,1,0,0.0,0,0,0.0,0,0,0,0,0,0
2011,540,98,3,154,0.2851851851851852,127,0,0.0,0,0,0,92,42,123
2012,720,94,4,263,0.36527777777777776,200,489,0.6791666666666667,487,0,119,51,24,180
2013,560,77,6,272,0.4857142857142857,209,295,0.5267857142857143,291,0,51,63,85,146
2014,427,55,4,203,0.47540983606557374,155,204,0.477751756440281,191,26,60,25,51,52
2015,902,219,4,411,0.4556541019955654,285,610,0.6762749445676275,588,72,159,210,502,155
2016,340,59,2,164,0.4823529411764706,149,234,0.6882352941176471,234,8,34,82,143,125
2017,520,70,1,142,0.27307692307692305,140,360,0.6923076923076923,348,42,118,84,212,134
2018,382,77,2,66,0.17277486910994763,52,217,0.5680628272251309,204,24,81,81,142,107
2019,260,57,4,66,0.25384615384615383,54,144,0.5538461538461539,140,59,76,58,115,88
2020,510,125,3,241,0.4725490196078431,131,249,0.48823529411764705,247,140,151,175,226,179
2021,463,77,2,29,0.06263498920086392,23,94,0.20302375809935205,94,30,219,79,290,50
